date,value
1990-1-1,0.593
1990-1-2,0.594
1990-1-3,0.5973
1990-1-4,0.597
1990-1-5,0.5985
1990-1-6,0.604
1990-1-7,0.607
1990-1-8,0.6084
1990-1-9,0.6115
1990-1-10,0.609
1990-1-11,0.612
1990-1-12,0.614
1990-1-13,0.6106
1990-1-14,0.6118
1990-1-15,0.6052
1990-1-16,0.5915
1990-1-17,0.5945
1990-1-18,0.5928
1990-1-19,0.595
1990-1-20,0.597
1990-1-21,0.602
1990-1-22,0.5983
1990-1-23,0.6003
1990-1-24,0.5998
1990-1-25,0.601
1990-1-26,0.5936
1990-1-27,0.5915
1990-1-28,0.593
1990-1-29,0.5926
1990-1-30,0.5925
1990-1-31,0.5815
1990-2-1,0.585
1990-2-2,0.5883
1990-2-3,0.5898
1990-2-4,0.5887
1990-2-5,0.5897
1990-2-6,0.5902
1990-2-7,0.5882
1990-2-8,0.5877
1990-2-9,0.588
1990-2-10,0.5872
1990-2-11,0.5884
1990-2-12,0.5878
1990-2-13,0.5891
1990-2-14,0.5889
1990-2-15,0.5879
1990-2-16,0.5907
1990-2-17,0.5892
1990-2-18,0.5863
1990-2-19,0.5874
1990-2-20,0.5898
1990-2-21,0.588
1990-2-22,0.5855
1990-2-23,0.5832
1990-2-24,0.5793
1990-2-25,0.581
1990-2-26,0.5785
1990-2-27,0.5805
1990-2-28,0.5808
1990-3-1,0.5767
1990-3-2,0.5783
1990-3-3,0.579
1990-3-4,0.5778
1990-3-5,0.577
1990-3-6,0.579
1990-3-7,0.5782
1990-3-8,0.578
1990-3-9,0.5784
1990-3-10,0.5783
1990-3-11,0.5792
1990-3-12,0.5796
1990-3-13,0.5795
1990-3-14,0.5796
1990-3-15,0.5777
1990-3-16,0.5788
1990-3-17,0.5815
1990-3-18,0.5827
1990-3-19,0.5828
1990-3-20,0.5818
1990-3-21,0.5817
1990-3-22,0.5755
1990-3-23,0.5735
1990-3-24,0.5748
1990-3-25,0.5685
1990-3-26,0.5708
1990-3-27,0.5727
1990-3-28,0.5726
1990-3-29,0.5726
1990-3-30,0.5747
1990-3-31,0.5721
1990-4-1,0.5739
1990-4-2,0.57
1990-4-3,0.5708
1990-4-4,0.5725
1990-4-5,0.5728
1990-4-6,0.5735
1990-4-7,0.5725
1990-4-8,0.5735
1990-4-9,0.5735
1990-4-10,0.5737
1990-4-11,0.5739
1990-4-12,0.5733
1990-4-13,0.5741
1990-4-14,0.5757
1990-4-15,0.5768
1990-4-16,0.5752
1990-4-17,0.5768
1990-4-18,0.5776
1990-4-19,0.5819
1990-4-20,0.5828
1990-4-21,0.5812
1990-4-22,0.5785
1990-4-23,0.5783
1990-4-24,0.5806
1990-4-25,0.5823
1990-4-26,0.5816
1990-4-27,0.5823
1990-4-28,0.583
1990-4-29,0.5825
1990-4-30,0.5875
1990-5-1,0.586
1990-5-2,0.5852
1990-5-3,0.5873
1990-5-4,0.5872
1990-5-5,0.5872
1990-5-6,0.5883
1990-5-7,0.5903
1990-5-8,0.5902
1990-5-9,0.59
1990-5-10,0.5903
1990-5-11,0.5912
1990-5-12,0.5933
1990-5-13,0.5938
1990-5-14,0.5881
1990-5-15,0.5918
1990-5-16,0.5892
1990-5-17,0.5918
1990-5-18,0.5928
1990-5-19,0.5923
1990-5-20,0.595
1990-5-21,0.5937
1990-5-22,0.5942
1990-5-23,0.5918
1990-5-24,0.5894
1990-5-25,0.5888
1990-5-26,0.591
1990-5-27,0.5918
1990-5-28,0.594
1990-5-29,0.589
1990-5-30,0.5936
1990-5-31,0.5987
1990-6-1,0.6017
1990-6-2,0.6018
1990-6-3,0.601
1990-6-4,0.6015
1990-6-5,0.6085
1990-6-6,0.6075
1990-6-7,0.618
1990-6-8,0.6173
1990-6-9,0.619
1990-6-10,0.6197
1990-6-11,0.622
1990-6-12,0.6258
1990-6-13,0.6308
1990-6-14,0.6295
1990-6-15,0.628
1990-6-16,0.6313
1990-6-17,0.6303
1990-6-18,0.6132
1990-6-19,0.6153
1990-6-20,0.6165
1990-6-21,0.624
1990-6-22,0.6255
1990-6-23,0.6233
1990-6-24,0.6202
1990-6-25,0.6185
1990-6-26,0.6215
1990-6-27,0.624
1990-6-28,0.6275
1990-6-29,0.623
1990-6-30,0.625
1990-7-1,0.6225
1990-7-2,0.619
1990-7-3,0.613
1990-7-4,0.6215
1990-7-5,0.6204
1990-7-6,0.6183
1990-7-7,0.616
1990-7-8,0.615
1990-7-9,0.619
1990-7-10,0.618
1990-7-11,0.6183
1990-7-12,0.6165
1990-7-13,0.6163
1990-7-14,0.6193
1990-7-15,0.6168
1990-7-16,0.6155
1990-7-17,0.6167
1990-7-18,0.6065
1990-7-19,0.604
1990-7-20,0.598
1990-7-21,0.6
1990-7-22,0.605
1990-7-23,0.607
1990-7-24,0.6048
1990-7-25,0.6063
1990-7-26,0.609
1990-7-27,0.6098
1990-7-28,0.613
1990-7-29,0.6141
